"Uuid","Void/Retire","Mappings|NARROWER-THAN","Mappings|SAME-AS","Fully specified name:en","Fully specified name:fr","Short name:en","Short name:fr","Description:en","Description:fr","Data class","Data type","Absolute low","Critical low","Normal low","Normal high","Critical high","Absolute high","Units","Allow decimals","Display precision","_version:1","_order:1000","Mappings|BROADER-THAN","Mappings|ASSOCIATED-WITH","Answers","Members"
"68da084b-d93c-4b6c-bf44-1cf6c0252d16","","","LOINC:39231-0","Amphetamines screen, urine","","AMP screen urine","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"161495AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED NP:359788000","CIEL:161495;LOINC:20469-3","Antinuclear antibodies","","ANA","","","","LabSet","N/A","","","","","","","","","","","","","","","161494AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
"4fd6e5f5-e348-4d12-8260-d01257eef389","","","LOINC:39233-6","Barbiturates screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"1341AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","AMPATH:1341;SNOMED CT:271038001;CIEL:1341;IMO ProcedureIT:1066561;LOINC:706-0","Basophils (%) - microscopic exam","Basophiles (%)","","","Type of leukocyte, with coarse granules that stain blue when exposed to a basic dye. Basophils normally constitute 1% or less of the total white blood cell count but may increase or decrease in certain diseases.  This is a microscopic exam.","","Test","Numeric","0.0","","","","","100.0","%","No","","","","","","",""
"b91a6540-661d-45a2-9bd6-32f85f9fb814","","","LOINC:39234-4","Benzodiazepines screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"161485AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:117027007;CIEL:161485;IMO ProcedureIT:936030;IMO ProcedureIT:936091;LOINC:635-3","Body fluid culture and sensitivity","","Body fluid C/S","","","","Test","Text","","","","","","","","","","","","","","",""
"ff910613-be23-4a0f-9590-951536e5d084","","","LOINC:1986-9","C-peptide in serum/plasma (ng/mL)","","","","","","Test","Numeric","0.0","","","","","","ng/mL","Yes","","","","","","",""
"159653AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6119","SNOMED CT:104613001;CIEL:159653;IMO ProcedureIT:682821;LOINC:16325-3","Creatine kinase, isoenzyme MB fraction","créatine kinase, fraction isoenzyme MB","CK-mb %","","Myocardial band fraction of creatine kinase in percent","","Test","Numeric","","","","","","","%","No","","","","","","",""
"493eb6d1-c7c6-4b4a-bf7e-ac7b289ce6ee","","","LOINC:39237-7","Cocaine screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"159661AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6121","SNOMED CT:8879006;CIEL:159661;LOINC:2162-6","creatinine measurement, urine, 24 hour","","","","Measurement of creatinine in 24 hour urinary sample in mmol/L","","Test","Numeric","","","","","","","mmol/L","Yes","","","","","","",""
"161134AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:167181009;CIEL:161134;IMO ProcedureIT:682825;LOINC:2164-2","Creatinine clearance test","","","","Urine creatinine clearance, or the volume of plasma cleared of creatinine per unit of time, taken through 24-hour collection","","Test","Numeric","0.0","","","","","","ml/min/1.73m2","Yes","","","","","","",""
"159648AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:252399001","SNOMED MVP:1596481000105008;CIEL:159648;LOINC:634-6","Cerebrospinal fluid bacterial culture","Culture bactérienne liquide céphalorachidien","CSF bacterial culture","","Bacterial culture of CSF sample","","Test","Text","","","","","","","","","","","","","","",""
"793871a2-f31f-40c9-be14-d55aaecfe6d1","","","LOINC:14357-8","CSF Gram Stain Test","Test de coloration de Gram du LCR","CSF Gram stain","Gram LCR","Microscopic Gram stain of cerebrospinal fluid (CSF). Mapped to LOINC 14357-8 (Gram stain in CSF). Used as a rapid preliminary step to describe bacterial morphology and Gram reaction when evaluating suspected meningitis or ventriculitis; results are almost always qualitative or narrative (e.g. Gram-positive cocci in pairs; Gram-negative bacilli; polymicrobial pattern; no organisms seen). No numeric absolute low or high; critical low or high; or normal range applies because the datatype is Text rather than a quantitative scale.","Coloration de Gram microscopique du liquide céphalorachidien (LCR). LOINC 14357-8. Examen rapide pour décrire la morphologie bactérienne et la réaction de Gram (méningite ou ventriculite suspectée). Résultat le plus souvent qualitatif ou narratif. Pas de valeurs numériques de référence (basse ou haute absolue; critiques; normales) car le type de donnée est Texte.","Test","Text","","","","","","","","","","","","","","",""
"159646AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6132","SNOMED CT:84130004;CIEL:159646;IMO ProcedureIT:926831;LOINC:2880-3","Cerebrospinal fluid protein measurement","Mesure de protéines dans le liquide céphalo-rachidien","CSF protein","","Examination of protein level in CSF in mg/dL","","Test","Numeric","","","","","","","mg/dL","Yes","","","","","","",""
"166018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:48065-7","D-dimer","","","","","","Test","Numeric","0.0","","","","","","","No","","","","","","",""
"167441AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:399256002","CIEL:167441;LOINC:32290-9","HIV DNA polymerase chain reaction, dried blood spot (DBS)","Réaction en chaîne par polymérase de l'ADN du VIH, goutte de sang séché (DBS)","HIV DNA PCR, DBS","","","","Test","Coded","","","","","","","","","","","","","","1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"1340AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","AMPATH:1340;SNOMED CT:310540006;CIEL:1340;IMO ProcedureIT:1070469;LOINC:713-6","Eosinophils (%) - microscopic exam","Eosinophiles (%)","","","A type of white blood cell found in vertebrate blood, containing cytoplasmic granules that are easily stained by eosin or other acid dyes.  This is a microscopic exam.","","Test","Numeric","0.0","","","","","100.0","%","No","","","","","","",""
"166377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:166377;IMO ProcedureIT:927281;SNOMED CT:250346004;LOINC:3255-7","Fibrinogen assay","Dosage fibrinogène","","","","","Test","Numeric","","","","","","","","No","","","","","","",""
"5d1ca28b-a870-4d37-8d4c-50f50fe17d90","","SNOMED CT:395145001","IMO ProcedureIT:88194046;CIEL:167894;LOINC:10886-0","Free prostate specific antigen (PSA) measurement (ng/mL)","","Free PSA measurement","","","","Test","Numeric","","","","","","","ng/ml","Yes","","","","","","",""
"161132AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:80274001","SNOMED CT:12341000;CIEL:161132;IMO ProcedureIT:33999951;LOINC:50044-7","Glomerular filtration rate","","GFR","","The rate of fluid filtration from the glomerular capillaries to the Bowman's capsule, derived with the help of nuclear scan","","Test","Numeric","0.0","","","","","","ml/min/1.73m2","Yes","","","","","","",""
"161234AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:121912002;CIEL:161234;LOINC:47232-2","Hepatitis B virus DNA test","","","","","","Test","N/A","","","","","","","","","","","","","","",""
"159644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6126","SNOMED CT:43396009;CIEL:159644;IMO ProcedureIT:923077;LOINC:4548-4","Glycosylated hemoglobin A measurement","Mesure de l'hémoglobine glyquée","HbA1c","","Glycosylated hemoglobin A (HbA1c) test is measured in percent and is gives an indication of average serum glucose levels over several months.","","Test","Numeric","0.0","","","","","","%","Yes","","","","","","",""
"92585f1c-e11d-497c-8708-c30366b12732","","","LOINC:53115-2","Immature granulocytes count (10^3/uL)","","","","","","Test","Numeric","0.0","","","","","","10^3/uL","No","","","","","","",""
"b1273f55-09dd-40b7-9dde-ad14bc410cfc","","","LOINC:71633-2","Mycobacterium tuberculosis stimulated gamma interferon (IGRA)","","","","Qualitative interpretation of MTB stimulated gamma interferon from whole blood.","","Test","Coded","","","","","","","","","","","","","","703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"164395AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:164395;LOINC:75873-8","Line probe assay for tuberculosis DST","","","","Line probe assays are tests that use PCR and reverse hybridization methods for the rapid detection of mutations associated with drug resistance. Line probe assays are designed to identify M. tuberculosis complex and simultaneously detect mutations associated with drug resistance. - See more at: http://www.tbfacts.org/drug-susceptibility/#sthash.5AeY4QuX.dpuf","","Procedure","N/A","","","","","","","","","","","","","","",""
"161515AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:271232007","CIEL:161515;LOINC:3040-3","Lipase test","","","","","","LabSet","N/A","","","","","","","","","","","","","","","1013AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
"163592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:269871000;CIEL:163592;LOINC:4300-0","Serum lithium","lithium Serum","","","Lab test to measure the amount of lithium in the blood.","","Test","Numeric","","","","","","","mmol/L","No","","","","","","",""
"1338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","AMPATH:1338;SNOMED CT:271036002;CIEL:1338;IMO ProcedureIT:1064629;LOINC:736-9","Lymphocytes (%) - microscopic exam","Lymphocytes (%)","","","Agranulocytic leukocyte that normally makes up about 25% of the total white blood cell count but increases in the presence of infection.  This is a microscopic exam.","","Test","Numeric","0.0","","","","","100.0","%","No","","","","","","",""
"62f39012-cf08-4bd1-8b56-8a6ef74448b7","","","LOINC:39241-9","Cannabinoids (marijuana) screening, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"bd1e0c82-8eeb-4f13-962d-f9c9aa4abac2","","","LOINC:39235-1","Methylenedioxymethamphetamine screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"b9e03e83-9f01-4fc9-b0bc-6ecf52c77e0d","","","LOINC:39240-1","Methadone screening, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"163426AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:252305002","CIEL:163426;LOINC:43394-6","Combined % of monocytes, eosinophils and basophils","Mélangés en pourcentage (monocytes, des éosinophiles et des basophiles), les cellules sanguines","Mixed %","","A lab test obtained by summing the monocytes, eosinophils and basophils.","","Test","Numeric","0.0","","1.0","10.0","","50.0","%","No","","","","","","",""
"1339AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","AMPATH:1339;SNOMED CT:271037006;CIEL:1339;IMO ProcedureIT:1072362;LOINC:744-3","Monocytes (%) - microscopic exam","Monocytes (%)","","","Large, circulating, phagocytic white blood cells, having a single well-defined nucleus and very fine granulation in the cytoplasm. Monocytes constitute from 3 to 8 percent of the white blood cells in humans.  This is a microscopic exam.","","Test","Numeric","0.0","","","","","100.0","%","No","","","","","","",""
"1330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:30630007;AMPATH:1330;CIEL:1330;IMO ProcedureIT:601440;PIH:6675;LOINC:751-8","ABSOLUTE NEUTROPHIL COUNT","","","","Absolute neutrophil count (ANC) is a measure of the number of neutrophil granulocytes (also known as polymorphonuclear cells, PMN's, polys, granulocytes, segmented neutrophils or segs) present in the blood. Neutrophils are a type of white blood cell that fights against infection. ANC = (%neutrophils + %bands) x WBC","","Test","Numeric","0.0","","","","","","10^3/uL","No","","","","","","",""
"1336AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:30630007;PIH:3060;AMPATH:1336;CIEL:1336;IMO ProcedureIT:1060713;LOINC:770-8","Neutrophils (%) - microscopic exam","Neutrophiles (%)","","","Test to find, count and examine Neutrophils the type of white blood cell which form an early line of defence against bacterial infections by using microscopic exam","","Test","Numeric","0.0","","","","","100.0","%","No","","","","","","",""
"163708AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:113076002","CIEL:163708;PIH:14199;LOINC:6749-6","Glucose tolerance test 5 specimens (75g) panel","Panel glucose test de tolérance, 5 Specimens (75g)","","","A series of tests to measure blood glucose over a 4-hour period of time after drinking a 75 gram bottle of glucose solution.","","LabSet","N/A","","","","","","","","","","","","","","","163594AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163704AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163705AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163706AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163707AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
"abb61ab1-27c5-4c6e-83e9-d0e33f0b2eeb","","","LOINC:39245-0","Phencyclidine screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"b669ba2f-5c77-4fb1-990d-34d72dd7d24c","","","LOINC:59419-0","PLCC","","","","","","Test","Numeric","","","","","","","10^9/L","No","","","","","","",""
"166017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:33762-6","N-terminal pro brain natriuretic peptide (NT-proBNP) measurement","","NT-proBNP measurement","","","","Test","Numeric","0.0","","","","","","","Yes","","","","","","",""
"165953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:33959-8","Procalcitonin measurement, serum/plasma","","PCT measurement","","","","Test","Numeric","0.0","","","","","","ng/ml","No","","","","","","",""
"91ba7747-7801-4559-8445-c8050df78ff8","","","LOINC:39247-6","Propoxyphene screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"161481AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:396451008;CIEL:161481;IMO ProcedureIT:4199;LOINC:5964-2","Prothrombin time","Temps de Prothrombine","PT","","","","Test","Numeric","0.0","","","","","","Minute","Yes","","","","","","",""
"166395AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:4679-7","Absolute reticulocyte count","Reticulocytes absolute","ARC","ARC","","","Test","Numeric","0.0","","","","","","","No","","2","","","","",""
"161462AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:386148007;CIEL:161462;LOINC:11457-6","Slit skin smear for acid fast bacilli","","","","","","Test","Coded","","","","","","","","","","","","","","1365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"165539AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:32173-8","Wet mount of skin snip for Onchocerca","Recherche de filariose","","","","","Test","Coded","","","","","","","","","","","","","","",""
"159981AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","org.openmrs.module.mdrtb:TUBERCULOSIS CULTURE CONSTRUCT;CIEL:159981;LOINC:11458-4","Tuberculosis culture construct","Modèle de la culture pour la tuberculose","","","Contains concepts related to tuberculosis culture.","","LabSet","N/A","","","","","","","","","","","","","","","159982AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159959AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159952AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159965AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159963AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159964AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159966AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159967AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159962AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
"e87ffd20-cf8f-4f1a-be4f-e65da34c4cc3","","","LOINC:6579-0","THROAT SWAB CULTURE","","","","A throat culture is a laboratory diagnostic test to isolate and identify organisms that may cause infection in the throat. Sampling is performed by throat swab","","LabSet","N/A","","","","","","","","","","","","","","",""
"717AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:270992008;AMPATH:717;CIEL:717;IMO ProcedureIT:34405511;LOINC:2885-2","Total protein","Protéines totales","","","Total protein measured in plasma or serum","","Test","Numeric","0.0","","","","","","g/dL","Yes","","","","","","",""
"8983cd9d-8808-499a-9f3b-c3b44c8127ad","","","LOINC:697-3","Urethral Culture and Sensitivity Test","","","","","","Test","Text","","","","","","","","","","","","","","",""
"161484AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:252390002","CIEL:161484;LOINC:637-9","Pus culture and sensitivity","","Pus C/S","","","","Test","Text","","","","","","","","","","","","","","",""
"165984AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:2744-1","pH of arterial blood","","Arterial pH","","","","Test","Numeric","0.0","","","","","","","Yes","","","","","","",""
"165985AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:30313-1","Hemoglobin in arterial blood (mass/volume)","","","","","","Test","Numeric","0.0","","","","","","","No","","","","","","",""
"165927AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:3150-0","Inspired oxygen concentration (percent)","","FiO2","","","","Finding","Numeric","0.0","","","","","100.0","%","No","","","","","","",""
"165986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:3151-8","Delivered oxygen flow rate (L/m)","","O2 flow","","","","Question","Numeric","0.0","","","","","","L/m","Yes","","","","","","",""
"5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:8310-5","Temperature (C)","TEMPÉRATURE (C)","TEMP (C)","","Patient's temperature in degrees centigrade.","","Finding","Numeric","25.0","","","","","43.0","DEG C","Yes","","","","","","",""
"160232AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:165745004;CIEL:160232;SNOMED CT:363783003;IMO ProcedureIT:923245;PIH:20034;LOINC:10331-7","Rhesus blood grouping test","Groupe sanguin - rhesus","Rh factor","","","","Test","Coded","","","","","","","","","","","","","","664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"161233AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:41902000;CIEL:161233;LOINC:10386-3","Blood cross-matching","","","","Lab test that is performed prior to a blood transfusion in order to determine if the donor's blood is compatible with the blood of an intended recipient.","","Test","Coded","","","","","","","","","","","","","","163433AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163434AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"163594AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:113076002","CIEL:163594;PIH:11967;LOINC:1558-6","Glucose tolerance test pre-glucose administration","Glucose test de tolérance","","","Lab test that measures the body's ability to use glucose. This is the first of 5 samples, prior to drinking the bottle of glucose solution.","","Test","Numeric","20.0","","70.0","120.0","","450.0","mg/dl","No","","","","","","",""
"1619AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:19869000;PIH:1478;AMPATH:299;CIEL:1619;IMO ProcedureIT:923450;LOINC:20507-0","RAPID PLASMA REAGIN","Réagine rapide","","","","","Test","Coded","","","","","","","","","","","","","","1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:365669006","CIEL:162101;LOINC:32167-9","Urine turbidity","Apparence de l'urine","","","","","Test","Coded","","","","","","","","","","","","","","162102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162104AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"160735AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","CIEL:160735;LOINC:630-4;SNOMED CT:167316004","Bacteriuria test, urine","Test Bactériurie, urine","","","Test for bacteria in urine. Can be done by dipstick or microscopic methods.","","Test","Coded","","","","","","","","","","","","","","703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
