Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:2,_order:1
1942d7a9-0039-4904-94bc-1cc87e9069cf,,,Twice a Day,Twice a Day,Twice a Day,Frequency,N/A,,,,
33436036-8a92-11e4-977f-0800271c1b75,,,Every 2 hours,Every 2 hours,Every 2 hours,Frequency,N/A,,,,
33460abd-8a92-11e4-977f-0800271c1b75,,,Every 3 hours,Every 3 hours,Every 3 hours,Frequency,N/A,,,,
334ea16c-8a92-11e4-977f-0800271c1b75,,,Every 8 hours,Every 8 hours,Every 8 hours,Frequency,N/A,,,,
334f851c-8a92-11e4-977f-0800271c1b75,,,Every 12 hours,Every 12 hours,Every 12 hours,Frequency,N/A,,,,
335071ea-8a92-11e4-977f-0800271c1b75,,,On alternate days,On alternate days,On alternate days,Frequency,N/A,,,,
33516e22-8a92-11e4-977f-0800271c1b75,,,Once a week,Once a week,Once a week,Frequency,N/A,,,,
33523c55-8a92-11e4-977f-0800271c1b75,,,Twice a week,Twice a week,Twice a week,Frequency,N/A,,,,
3352f51b-8a92-11e4-977f-0800271c1b75,,,Thrice a week,Thrice a week,Thrice a week,Frequency,N/A,,,,
3353b81e-8a92-11e4-977f-0800271c1b75,,,Every 2 weeks,Every 2 weeks,Every 2 weeks,Frequency,N/A,,,,
33547af0-8a92-11e4-977f-0800271c1b75,,,Every 3 weeks,Every 3 weeks,Every 3 weeks,Frequency,N/A,,,,
3355487f-8a92-11e4-977f-0800271c1b75,,,Once a month,Once a month,Once a month,Frequency,N/A,,,,
33b501b0-8a92-11e4-977f-0800271c1b75,,,Four days a week,Four days a week,Four days a week,Frequency,N/A,,,,
33b5c447-8a92-11e4-977f-0800271c1b75,,,Five days a week,Five days a week,Five days a week,Frequency,N/A,,,,
33b68622-8a92-11e4-977f-0800271c1b75,,,Six days a week,Six days a week,Six days a week,Frequency,N/A,,,,
3ab26113-d7ba-4618-8c95-7d4db7352519,,,Four times a Day,Four times a Day,Four times a Day,Frequency,N/A,,,,
44bead48-74a0-4107-a09d-e52be2c25803,,,Once a day,Once a day,Once a day,Frequency,N/A,,,,
733db236-6309-4e50-a52d-09d96627cb9c,,,Before bed,Before bed,Before bed,Frequency,N/A,,,,
77bdc00f-4111-4caa-8d3b-8a094706656e,,,Five times a day,Five times a day,Five times a day,Frequency,N/A,,,,
9a7a9767-b5b0-4dd3-9222-a2a0f541db03,,,Before meals,Before meals,Before meals,Frequency,N/A,,,,
9d8e6918-3f10-11e4-adec-0800271c1b75,,,Immediatley,Immediatley,Immediatley,Frequency,N/A,,,,
aff74faa-29ea-4f92-b52f-6f53c9fb4f8f,,,Thrice a day,Thrice a day,Thrice a day,Frequency,N/A,,,,
160855AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Medication frequency,Medication frequency,Medication frequency options for drug orders,Question,Coded,Every four hours;Twice a Day;Every hour;Every 2 hours;Every 3 hours;Every 8 hours;Every 12 hours;On alternate days;Once a week;Twice a week;Thrice a week;Every 2 weeks;Every 3 weeks;Once a month;Four days a week;Five days a week;Six days a week;Four times a Day;Once a day;Every other day;Every six hours;Before bed;Five times a day;Before meals;Immediatley;Thrice a day,,,